level,GEO_ID,NAME,st,cnty,gini_est,gini_moe,md_cfm_inc_est,md_cfm_inc_moe,unins_ch_c_est,unins_ch_c_moe,unins_ch_est,unins_ch_moe,u5_fmpv_c_est,u5_fmpv_c_moe,u5_fmpv_est,u5_fmpv_moe,pub_ast_c_est,pub_ast_c_moe,pub_ast_est,pub_ast_moe,hc_brdn_c_est,hc_brdn_c_moe,hc_brdn_est,hc_brdn_moe,u5_pv_c_est,u5_pv_c_moe,u5_pv_est,u5_pv_moe,u18_2pv_c_est,u18_2pv_c_moe,u18_2pv_est,u18_2pv_moe,u5_fm185pv_c_est,u5_fm185pv_c_moe,u5_fm185pv_est,u5_fm185pv_moe,u6_2pv_c_est,u6_2pv_c_moe,u6_2pv_est,u6_2pv_moe,u6_pv_c_est,u6_pv_c_moe,u6_pv_est,u6_pv_moe,u5_ch185pv_c_est,u5_ch185pv_c_moe,u5_ch185pv_est,u5_ch185pv_moe,u6_apilf_c_est,u6_apilf_c_moe,u6_apilf_est,u6_apilf_moe,u5_fp185_est,u5_fp185_moe,u5_fp185_c_est,u5_fp185_c_moe,u6_1prt_est,u6_1prt_moe,u6_1prt_c_est,u6_1prt_c_moe
county,0500000US55065,"Lafayette County, Wisconsin",55,065,0.4096,0.0124,87010,5399,219,51.8555686498567,17.3671689135607,4.05818821666787,103,34.5687720348872,8.41503267973856,2.73913402714046,100,30,1.50330727600722,0.450582896707044,1537,130.862523283024,23.1058328322309,1.94498404605457,145,40.3112887414927,0.137180700094607,0.0372423112824822,1571,207.622253142576,39.5220125786164,5.11119605943274,256,54.561891462815,32.6114649681529,5.93607740890825,535,100.518654985033,42.8685897435897,7.92411917756608,279,76.5636989702039,22.3557692307692,6.08860415194254,446,91.7769034125689,35.7371794871795,7.25490497388353,840,99.9599919967984,68.0713128038898,7.7283033759479,32.4393358876118,6.06958907693954,254,55.3624421426656,23.8509316770186,5.88028771271822,192,51.9037570894439
county,0500000US55067,"Langlade County, Wisconsin",55,067,0.4381,0.0215,78859,18915,47,35.4682957019364,3.99659863945578,3.00384004725343,111,63.2455532033676,10.2587800369686,5.58450383690623,196,108,2.32144972166292,1.27681401934594,1700,270.822820308777,20.1350230960559,3.13636854772651,154,76.0591874792257,0.147651006711409,0.0713536135601106,1466,313.236332503112,39.5468033450229,8.18182348283044,248,102.269252466223,31.1166875784191,10.8622310644489,485,172.939295708061,42.1372719374457,14.7721297492894,265,138.039849318956,23.0234578627281,11.8988338432842,386,163.275840221387,33.5360556038228,14.0162397057207,749,162.388423232692,66.4596273291926,13.7322205103207,30.7692307692308,10.954353347725,244,102.190997646564,27.8645833333333,10.3167187643859,214,92.0108689231875
county,0500000US55069,"Lincoln County, Wisconsin",55,069,0.4141,0.0153,84329,5255,110,56.7274184147313,7.06033376123235,3.61221857820601,178,76.0197342799881,10.8075288403157,4.47542695580882,294,100,2.40471127106167,0.816531363999416,2874,299.974998958247,23.5072795681335,2.40868632499196,204,86.2148479091624,0.156923076923077,0.064264082100117,1898,285.340147893703,38.3202099737533,5.57819186577901,429,113.538539712293,44.2724458204334,8.66459468918762,700,187.624625249459,45.3074433656958,11.8537218977768,316,117.630778285277,20.453074433657,7.51984185682408,638,176.371766448034,41.294498381877,11.1593267392436,1019,155.23208431249,67.9333333333333,9.53158673655878,41.8103448275862,8.68067385672991,388,106.990653797423,31.3653136531365,10.2200006615529,255,94.0850678907126
county,0500000US55071,"Manitowoc County, Wisconsin",55,071,0.4139,0.0112,84074,3115,131,56.8506816142076,2.63793797825211,1.1373806054422,453,171.915677004746,7.79556014455343,2.9007235347528,467,135,1.33964429145152,0.386923633027104,6992,506.513573362057,20.057372346529,1.43256265786106,569,184.024454896625,0.142928912333585,0.0454989475640309,5970,697.420246336454,36.6527504911591,4.14796131318051,958,218.236110669156,31.0032362459547,6.15093745845668,1916,398.493412743548,39.2542511780373,7.94811559835109,1051,283.693496576851,21.5324728539234,5.72138018929101,1534,323.995370337294,31.4279860684286,6.46761938693108,3590,429.652184912401,74.5122457451225,8.11555966252119,30.3950375448906,6.17329960685641,931,216.16428937269,31.2719158431623,6.74951887882296,981,236.883937826101
county,0500000US55073,"Marathon County, Wisconsin",55,073,0.425,0.0121,94132,2924,424,96.150923032491,4.58081244598099,1.03165973409034,690,218.426188906001,6.51312063432131,2.03271467254847,987,261,1.74739749309539,0.461912032558939,12192,802.616346706196,21.5848735925218,1.41271679351865,790,166.291912010176,0.103281474702575,0.0214195999223352,8475,788.011421237028,27.9573794286468,2.52813045105374,1808,326.003067470231,30.1032301032301,4.84218215508776,2859,526.711495982383,31.5006610841781,5.73165778590253,1303,257.569408121384,14.3565447333627,2.8074935643845,2316,348.425027803687,25.5178492728074,3.76763487977643,6850,473.719326183765,75.724076940084,4.76689390582441,30.1497504159734,4.83287437611171,1812,325.757578576462,23.9102768055998,4.54023426322764,1503,309.349317115781
county,0500000US55075,"Marinette County, Wisconsin",55,075,0.4148,0.0191,72301,3875,10,21.9317121994613,0.407331975560081,0.892875279298421,232,98.8635423197045,8.91621829362029,3.66310238416237,405,99,2.18105444558135,0.531175071927549,3877,408.820253901394,20.878884161775,2.15751482681426,308,116.777566338745,0.171492204899777,0.0625414525575132,3038,441.015872730223,40.1798703875149,5.56208450141014,605,161.92590898309,41.6666666666667,8.38520031416874,1040,316.66228067138,45.0997398091934,13.2627585016994,503,242.171426885997,21.8126626192541,10.3597287407952,977,313.154913740787,42.3677363399827,13.1618833146908,1356,204.269429920387,60.3202846975089,7.59336793447232,39.5431834403997,8.54223820323189,554,155.833244206748,32.8239202657807,7.93067147000117,494,142.274382796061
county,0500000US55077,"Marquette County, Wisconsin",55,077,0.4062,0.0147,74680,12227,33,17.464249196573,3.91459074733096,2.0596108644155,44,24.3310501211929,4.82985729967069,2.61822598254456,293,79,4.28989751098097,1.1539079330063,1710,137.444534267464,25.0366032210835,1.95777533531525,73,26.2488094968134,0.107828655834564,0.0379288521147943,1140,140.819032804518,39.2156862745098,4.6404447369034,180,51.7493961317425,38.5438972162741,9.19998059658346,308,68.8839603971781,38.2133995037221,8.26344472303745,112,40.3236903073119,13.8957816377171,4.93968194449053,294,67.2309452558864,36.4764267990074,8.07735179414344,554,76.2430324685476,71.3917525773196,8.68178473123001,37.6086956521739,9.36267429267785,173,51.4003891035856,31.4159292035398,7.53124954898128,142,40.9145450909576
county,0500000US55078,"Menominee County, Wisconsin",55,078,0.4323,0.0512,42917,9774,141,67.6239602507869,32.4137931034483,15.0724314737922,66,38.2883794381533,20.1219512195122,10.1050387390464,20,18,1.53022188217292,1.37094286289519,231,70.9436396021518,17.6740627390972,5.21239932769847,97,39.6610640301039,0.277142857142857,0.100415369908956,731,161.117969202693,53.2798833819242,10.850211232157,140,58.6770824087224,59.8290598290598,14.9208742944592,230,95.2312973764403,53.3642691415313,21.1365849344559,162,81.2157620169878,37.5870069605569,18.2897502871479,230,94.8050631559306,53.3642691415313,21.0331828558759,335,96.3742704252541,79.9522673031026,20.9289080482298,59.8290598290598,15.108302023714,140,59.0846849868898,75.625,14.6253797693748,121,50.4678115237822
county,0500000US55079,"Milwaukee County, Wisconsin",55,079,0.4729,0.0057,63479,2269,1696,544.031249102476,2.31652848537828,0.742486477307542,11027,909.101204487157,17.7562719397121,1.34411858131783,9562,811,2.45653787954692,0.208183377311267,141449,3020.86725957961,36.3391368462698,0.766173308205262,15908,1132.11306855808,0.261950633140674,0.017313307687369,111036,3626.35946921978,50.8585902538899,1.56511216047032,20998,1234.3338284273,48.51775687978,2.19016945352732,37747,2256.63288994909,52.5153732713765,3.05934163593928,23928,1748.79672918267,33.289740949943,2.39160496175675,34671,2110.06919317827,48.2358997189683,2.86330641729719,51295,2220.64427588031,72.9057107933711,2.95737648468889,48.2979463974939,2.19400246327596,20814,1228.95768844985,46.9272237196766,2.09166558952929,20892,1233.92949555475
county,0500000US55081,"Monroe County, Wisconsin",55,081,0.4076,0.0128,82652,8519,456,102.591422643416,13.5311572700297,2.97339732743738,321,119.235061957463,9.64543269230769,3.48831559216658,273,96,1.51734104046243,0.533130092058103,4115,420.856270002004,22.8712761227212,2.31620352358909,516,133.405397192168,0.181179775280899,0.0447173215240101,4635,505.300900454373,40.5547291976551,4.25398539816587,640,161.37533888423,36.5088419851683,7.73431991624975,1337,268.117511550439,40.3805496828753,7.9311590299746,904,238.415603516213,27.302929628511,7.11542568479344,1268,265.116955323495,38.2965871337964,7.85572050746695,2054,305.072122620209,62.8518971848225,8.97234351767368,35.7761107905366,7.7984946663434,620,159.868696122787,27.564825253664,7.7796721687517,489,150.36954478883
